2025-07-19 12:45:18,285 - __main__ - INFO - Starting PDF Outline Extractor
2025-07-19 12:45:18,286 - __main__ - INFO - Found 1 PDF files to process.
2025-07-19 12:45:18,287 - __main__ - INFO - Processing file: sample.pdf
2025-07-19 12:45:18,287 - extractor.pdf_parser - DEBUG - Starting to parse PDF: C:\Users\shrav\Downloads\project-bolt-sb1-uu5dcyx9\project\input\sample.pdf
2025-07-19 12:45:18,290 - extractor.pdf_parser - DEBUG - PDF has 17 pages
2025-07-19 12:45:18,437 - pdfminer.psparser - DEBUG - seek: 0
2025-07-19 12:45:18,438 - pdfminer.pdfdocument - DEBUG - find_xref: b''
2025-07-19 12:45:18,438 - pdfminer.pdfdocument - DEBUG - find_xref: b'%%EOF'
2025-07-19 12:45:18,440 - pdfminer.pdfdocument - DEBUG - find_xref: b'5179464'
2025-07-19 12:45:18,440 - pdfminer.pdfdocument - DEBUG - find_xref: b'startxref'
2025-07-19 12:45:18,586 - pdfminer.psparser - DEBUG - nextline: 5182655, b'0005171897 00000 n \n'
2025-07-19 12:45:18,587 - pdfminer.psparser - DEBUG - nextline: 5182675, b'0000619241 00000 n \n'
2025-07-19 12:45:18,587 - pdfminer.psparser - DEBUG - nextline: 5182695, b'0000619303 00000 n \n'
2025-07-19 12:45:18,588 - pdfminer.psparser - DEBUG - nextline: 5182715, b'0000619365 00000 n \n'
2025-07-19 12:45:18,589 - pdfminer.psparser - DEBUG - nextline: 5182735, b'0000619427 00000 n \n'
2025-07-19 12:45:18,590 - pdfminer.psparser - DEBUG - nextline: 5182755, b'0000869318 00000 n \n'
2025-07-19 12:45:18,590 - pdfminer.psparser - DEBUG - nextline: 5182775, b'0001699043 00000 n \n'
2025-07-19 12:45:18,590 - pdfminer.psparser - DEBUG - nextline: 5182795, b'0001698376 00000 n \n'
2025-07-19 12:45:18,591 - pdfminer.psparser - DEBUG - nextline: 5182815, b'0001708616 00000 n \n'
2025-07-19 12:45:18,591 - pdfminer.psparser - DEBUG - nextline: 5182835, b'0000869072 00000 n \n'
2025-07-19 12:45:18,592 - pdfminer.psparser - DEBUG - nextline: 5182855, b'0000625126 00000 n \n'
2025-07-19 12:45:18,592 - pdfminer.psparser - DEBUG - nextline: 5182875, b'0000000193 00000 f \n'
2025-07-19 12:45:18,593 - pdfminer.psparser - DEBUG - nextline: 5182895, b'0000868171 00000 n \n'
2025-07-19 12:45:18,593 - pdfminer.psparser - DEBUG - nextline: 5182915, b'0000868324 00000 n \n'
2025-07-19 12:45:18,594 - pdfminer.psparser - DEBUG - nextline: 5182935, b'0000868492 00000 n \n'
2025-07-19 12:45:18,594 - pdfminer.psparser - DEBUG - nextline: 5182955, b'0000868663 00000 n \n'
2025-07-19 12:45:18,595 - pdfminer.psparser - DEBUG - nextline: 5182975, b'0000869380 00000 n \n'
2025-07-19 12:45:18,595 - pdfminer.psparser - DEBUG - nextline: 5182995, b'0000624963 00000 n \n'
2025-07-19 12:45:18,596 - pdfminer.psparser - DEBUG - nextline: 5183015, b'0000619719 00000 n \n'
2025-07-19 12:45:18,596 - pdfminer.psparser - DEBUG - nextline: 5183035, b'0000868827 00000 n \n'
2025-07-19 12:45:18,597 - pdfminer.psparser - DEBUG - nextline: 5183055, b'0005170895 00000 n \n'
2025-07-19 12:45:18,597 - pdfminer.psparser - DEBUG - nextline: 5183075, b'0000868888 00000 n \n'
2025-07-19 12:45:18,598 - pdfminer.psparser - DEBUG - nextline: 5183095, b'0000868949 00000 n \n'
2025-07-19 12:45:18,598 - pdfminer.psparser - DEBUG - nextline: 5183115, b'0000869011 00000 n \n'
